bigramPair,0
"aa, dd",166.0
"aa, ff",162.64999999999418
"aa, ss",172.20000000001164
"ad, da",176.60000000003492
"ae, qd",190.09999999997672
"af, fa",179.7499999999709
"aq, az",228.0
"aq, qs",262.45000000000437
"aq, sa",217.60000000000582
"aq, sw",206.79999999993015
"aq, zq",247.20000000001164
"ar, ra",154.30000000007567
"as, sa",213.24999999998545
"aw, qs",199.80000000004657
"aw, sw",205.05000000004657
"aw, wa",200.84999999997672
"az, aq",195.5
"az, sa",210.0
"az, sx",224.40000000002328
"ce, dc",176.79999999998836
"ce, xe",197.10000000000582
"ce, ze",211.14999999990687
"cr, ev",201.49999999998545
"cr, rc",229.54999999998836
"cr, vr",191.20000000001164
"cr, xr",238.59999999997672
"cw, wc",219.55000000004657
"da, ad",191.85000000000582
"dc, ce",181.40000000002328
"dc, de",180.69999999995343
"dc, fv",219.0
"dd, aa",166.84999999997672
"dd, ff",157.79999999998836
"dd, ss",169.54999999998836
"de, dc",172.60000000003492
"de, fr",176.0
"de, se",162.44999999995343
"de, wd",169.5
"df, ef",210.99999999999636
"df, fd",174.25
"df, fg",197.59999999997672
"dr, ef",174.2499999999709
"dr, fd",173.45000000001164
"dr, fr",143.5
"dr, rd",218.2999999999738
"ds, sd",184.14999999999418
"ds, wd",137.05000000001746
"dw, wd",215.45000000006985
"ef, dr",159.5
"ef, fe",167.85000000003492
"es, se",206.5
"ev, cr",211.5
"ev, ve",197.10000000000582
"ev, wv",189.0499999999447
"ex, xe",233.14999999999418
"fa, af",191.59999999997672
"fb, fg",191.65000000002328
"fb, fv",209.0
"fd, df",195.54999999998836
"fd, dr",193.3000000000029
"fd, fr",186.89999999999418
"fd, fv",189.0
"fe, ef",166.09999999997672
"ff, aa",157.60000000009313
"ff, dd",166.64999999996508
"ff, ss",161.7500000000582
"fg, df",176.89999999996508
"fg, fb",205.5
"fg, fr",210.19999999995343
"fg, ft",203.8000000000029
"fq, qf",219.65000000002328
"fr, de",174.95000000001164
"fr, dr",168.0
"fr, fd",157.25
"fr, fg",183.70000000001164
"fr, ft",163.39999999999418
"fr, fv",191.5
"fr, vr",171.15000000002328
"fs, sf",182.04999999995925
"ft, fg",187.30000000004657
"ft, fr",207.0
"fv, dc",206.39999999990687
"fv, fb",197.5
"fv, fd",194.9999999999418
"fv, fr",201.85000000003492
"qc, wc",230.54999999998836
"qc, ze",193.05000000010477
"qd, ae",176.25000000011642
"qf, fq",222.10000000003492
"qs, aq",224.05000000001746
"qs, aw",215.64999999996508
"qs, sa",210.80000000004657
"qs, sq",253.54999999998836
"qv, vq",237.54999999998836
"qx, xq",308.35000000009313
"qx, zw",271.29999999995925
"ra, ar",171.05000000001746
"rc, cr",238.95000000004075
"rd, dr",217.35000000000582
"rz, zr",259.6499999999942
"sa, aq",182.34999999997672
"sa, as",195.04999999998836
"sa, az",195.0
"sa, qs",186.09999999997672
"sd, ds",184.84999999997672
"se, de",166.20000000001164
"se, es",188.44999999995343
"se, wd",207.39999999999418
"sf, fs",181.69999999995343
"sq, qs",236.64999999996508
"sr, wf",179.0
"ss, aa",172.19999999998254
"ss, dd",169.0
"ss, ff",168.30000000004657
"sw, aq",209.35000000003492
"sw, aw",192.19999999998254
"sw, sx",206.9500000000262
"sx, az",206.69999999995343
"sx, sw",214.5
"sx, xw",209.4999999999418
"ve, ev",185.70000000006985
"vq, qv",236.7500000000291
"vr, cr",176.39999999996508
"vr, fr",168.09999999997672
"vr, xr",226.05000000004657
"wa, aw",199.0
"wc, cw",215.89999999999418
"wc, qc",210.40000000002328
"wc, xe",223.95000000000437
"wd, de",168.90000000002328
"wd, ds",175.25
"wd, dw",201.10000000003492
"wd, se",170.34999999997672
"wf, sr",170.54999999998836
"wv, ev",190.5
"wv, xr",182.29999999998836
"wz, zw",277.0000000000582
"xe, ce",190.45000000001164
"xe, ex",248.0
"xe, wc",217.00000000000728
"xe, ze",208.84999999999127
"xq, qx",270.25
"xr, cr",224.0
"xr, vr",212.79999999998836
"xr, wv",215.45000000001164
"xr, xw",239.5
"xw, sx",236.70000000001164
"xw, xr",225.10000000003492
"xw, zw",251.95000000001164
"ze, ce",166.54999999993015
"ze, qc",213.04999999998836
"ze, xe",201.34999999997672
"ze, zq",250.70000000001164
"zq, aq",231.0
"zq, ze",237.95000000001164
"zq, zw",266.1000000000058
"zr, rz",249.35000000003492
"zw, qx",306.8999999999651
"zw, wz",288.3499999999185
"zw, xw",228.9999999999709
"zw, zq",244.65000000002328
